,Date,Russia_Ukraine_Date_Flag,Covid_Flag,US_Crude_Oil_Prices_Dollar_Per_Barrel,Federal_Rates_Monthly,Nominal_Broad_US_Dollar_Index,Adjusted_Closing_Price,US_Consumer_Sentiment,Average_Hourly_Earning,CPI_Value_Inflation
92,2020-09-01,0,1,-0.11663395198834037,-0.005704800114392006,-0.06559033982320789,-0.1279015828021638,0.47800096136917813,-0.020353977146569224,-0.01776514369855356
93,2020-10-01,0,1,-0.019667686021563435,0.0,-0.061356603886256356,-0.08666494256728074,0.10622243585981653,-1.0547118733938987e-15,-0.009917245053695662
94,2020-11-01,0,1,0.08507417674443651,0.0,-0.18290824820940388,0.3275737355184398,-0.3717785255093594,0.017446266125631382,-0.010424820587941322
95,2020-12-01,0,1,0.25933902265642794,0.0,-0.23863072657956666,0.12522823386441562,0.2883180401909321,0.05233879837689204,0.015773885833439402
96,2021-01-01,0,1,0.2538503660922704,0.0,-0.04448679453748859,-0.03896382789756436,-0.1289843864012068,-0.06978506450252236,0.03369520661945129
97,2021-02-01,0,1,0.31879946876813064,-0.005704800114392117,0.05777421193960792,0.09026977197114372,-0.1669209706368558,0.02907711020938386,0.012650344084244071
98,2021-03-01,0,1,0.18249783075822698,-0.005704800114392006,0.1435345039957701,0.15065765058933756,0.6145726646175144,-0.03780024327219955,0.01682808117379251
99,2021-04-01,0,1,-0.0256137306327337,0.0,-0.07676088925685144,0.1940087514823008,0.2579687728024125,0.043615665314077456,0.012259901365592726
100,2021-05-01,0,1,0.1340146977748383,-0.005704800114392117,-0.15386916197519696,0.021368161892663107,-0.4097151097450084,0.008723133062814581,-0.0014055937871360336
101,2021-06-01,0,1,0.2643702911735719,0.011409600228784122,0.039471445812178915,0.08699096073042112,0.19727023802537433,-0.008723133062815691,0.014055937871382318
102,2021-07-01,0,1,0.07043775924001769,0.011409600228784122,0.1610230901353249,0.09106153036734077,-0.3262546244265811,-0.011630844083753589,-0.046618860606752355
103,2021-08-01,0,1,-0.20308029287381632,-0.005704800114392006,0.03694205998318004,0.11868924099229283,-0.8270175363371484,0.002907711020939008,-0.02900989399565501
104,2021-09-01,0,1,0.15596932403146696,-0.005704800114392117,0.004429139134038751,-0.20039870747984523,0.18968292117824492,0.017446266125630272,0.006988924663824836
105,2021-10-01,0,1,0.4308595402863403,0.0,0.06758779472679444,0.27743214202750344,-0.08346048531842731,0.005815422041876794,0.059972001584562395
106,2021-11-01,0,1,-0.09422193768469878,0.0,0.10071949236671962,-0.035750220289469725,-0.32625462442658104,-0.03198482123032287,-0.03592073011575414
107,2021-12-01,0,1,-0.26940155969071594,0.0,0.08832224508467562,0.18553227924066018,0.24279413910815262,0.02035397714656928,-0.019717357291797022
108,2022-01-01,0,1,0.44686812193179853,0.0,-0.08320919476082078,-0.23345694922224403,-0.2579687728024126,0.02035397714656928,0.05825405362250302
109,2022-02-01,1,1,0.41530834668789474,0.0,-0.004885079927249958,-0.13190694880645637,-0.3338419412737115,-0.06106193143970773,0.008667828354017915
110,2022-03-01,1,1,0.8077472910251347,0.06845760137270462,0.1403320627101287,0.14574874853291542,-0.25796877280241315,0.04943108735595425,0.047634011675239396
111,2022-04-01,1,1,-0.17060574153588592,0.07416240148709685,0.09464028179058531,-0.37117633613725287,0.44006437713352864,-0.0232616881675084,-0.0852336454811865
112,2022-05-01,1,1,0.22640708327148462,0.25101120503325036,0.273825013522109,0.00020492570254471154,-0.5159375456048265,0.005815422041876905,0.06176803809035181
113,2022-06-01,1,1,0.2506486497631786,0.25101120503325036,0.03629071599288003,-0.32300948123447903,-0.637334615158903,-0.0029077110209367873,0.032328657104177205
114,2022-07-01,1,1,-0.5914027447879382,0.26812560537642655,0.29679574491335525,0.3212769275675065,0.11380975270694682,0.002907711020935899,-0.15812930105304313
115,2022-08-01,1,1,-0.3238307372852747,0.3708120074354836,-0.04718987209723369,-0.1632792109051875,0.5083502287576969,-0.005815422041876017,-0.0027330990305485248
116,2022-09-01,1,1,-0.41805267496997356,0.13121040263101735,0.35538413684083725,-0.3440702545733253,0.030349267388519063,-0.0029077110209376755,0.02897084972379327
117,2022-10-01,1,1,0.09102022135560661,0.29664960594838685,0.2044025998893022,0.2667387462765105,0.09863511901268729,0.017446266125631382,0.02213810214742651
118,2022-11-01,1,1,-0.09971059424885542,0.3993360080074436,-0.2844310648308257,0.1938690294123835,-0.24279413910815317,-0.00872313306281769,-0.05876162915674854
119,2022-12-01,1,1,-0.364995661516454,0.18255360366054574,-0.28388827817224294,-0.22412351495177818,0.2352068222610233,-0.005815422041876017,-0.02393413865321392
120,2023-01-01,1,1,-0.03384671547896978,0.1312104026310177,-0.26426111259787133,0.2208540185157165,0.38695315920362017,0.005815422041878016,0.1283385216200874
121,2023-02-01,1,1,-0.06357693853482094,0.13691520274540947,0.05680805168732994,-0.0991560956178742,0.15174633694259598,-0.014538555104693485,-0.027448123121060375
122,2023-03-01,1,1,-0.10199753448392085,0.04563840091513649,0.05107622457268968,0.12962482166447564,-0.3717785255093604,0.023261688167508954,-0.026315839236972893
123,2023-04-01,1,1,0.2350974561647335,0.10268640205905677,-0.15553008915046307,0.05604717964610084,0.1289843864012068,-0.008723133062817467,0.020732508360286284
124,2023-05-01,1,1,-0.3242881253322881,0.1312104026310168,0.04572434811905801,0.009640822824283912,-0.3566038918151009,-0.008723133062813693,-0.029790779432955494
125,2023-06-01,1,0,-0.07089514728703039,0.011409600228784456,-0.02352437378299943,0.2520120401072423,0.3945404760507498,0.01744626612563116,0.008511651266557285
126,2023-07-01,1,0,0.25064864976317835,0.022819200457568467,-0.12668640611334492,0.12908456299412907,0.553874129840475,-0.0058154220418775715,-0.015617708745978787
127,2023-08-01,1,0,0.2611685748444805,0.11980080240223279,0.1960328296139474,-0.07572936189509827,-0.15933365378972542,-0.020353977146571278,0.029400336714308528
128,2023-09-01,1,0,0.3741434224567155,0.0,0.19160369047990866,-0.20456242516337597,-0.12139706955407736,0.008723133062817467,-0.022333323506753322
129,2023-10-01,1,0,-0.1513954435613356,0.0,0.196347645875927,-0.08779203393127921,-0.30349267388519197,-0.0029077110209376755,-0.03439800351301936
130,2023-11-01,1,0,-0.32886200580241953,0.0,-0.24474250435521405,0.3483736943267737,-0.18968292117824492,0.01163084408375159,-0.01960022447620502
131,2023-12-01,1,0,-0.295015290323449,0.0,-0.14963542603824687,0.18818699856908538,0.6373346151589034,-0.005815422041873797,0.012298945637459147
132,2024-01-01,1,0,0.057173505876637554,0.0,0.045420387590250466,0.07062484894079102,0.7056204667830711,0.017446266125627163,0.0771514812051397
133,2024-02-01,1,0,0.12349477269353648,0.0,0.0910361783775927,0.23344763441758376,-0.1593336537897253,-0.034892532251258546,0.009292536703860321
134,2024-03-01,1,0,0.1834126068522533,0.0,-0.040622153528373506,0.14724843208335914,0.18968292117824492,0.02326168816750518,0.0037872943708969764
135,2024-04-01,1,0,0.19118820365147615,0.0,0.15989409388547116,-0.20367751872056838,-0.1669209706368558,-0.02035397714656728,-0.03084497477330861
136,2024-05-01,1,0,-0.22823663545953732,0.0,-0.02928876809715586,0.22525060631577687,-0.6145726646175143,0.020353977146569058,-0.027135768946139116
137,2024-06-01,1,0,-0.03247455133792987,0.0,0.1939376731118172,0.17043298088494563,-0.06828585162416756,-0.0058154220418775715,-0.01620337282395523
138,2024-07-01,1,0,0.07409686361612178,0.0,-0.033663628565337333,0.05758412241519073,-0.13657170324833623,-0.008723133062815691,0.010112466413022325
139,2024-08-01,1,0,-0.1875290992753707,0.0,-0.0912532930410257,0.11745968677702123,0.11380975270694704,0.020353977146569058,-0.00425582563328053
